observed_at,source,level,variant,outcome,hits_to_clear,time_to_clear_s,speed_p50,speed_p90,speed_max,damage_p50,damage_max,max_combo,glancing_hits,damaging_hits,rope_contacts,yanks,frame_ms_p95,errors
2026-09-13T13:09:22.204Z,human,L6,standard,SHATTER,5,15.85,84.11,203.1,446.44,18.49,40,3,1,5,5651,0,6.2,0
2026-09-13T13:09:39.433Z,human,L6,standard,SHATTER,5,7.29,37.69,151.74,364.71,24.42,40,4,1,5,1973,0,6.2,0
2026-09-13T13:09:48.412Z,human,L7,standard,SHATTER,3,3.99,117.46,244.49,408.41,40,40,2,0,3,358,0,6.2,0
2026-09-13T13:09:53.687Z,human,L7,standard,SHATTER,4,3.49,103.9,177.84,216.16,21.7,40,4,1,4,441,0,6.1,0
2026-09-13T13:09:58.570Z,human,L7,standard,SHATTER,3,3.22,104.87,244.32,341.17,40,40,3,2,3,993,0,6.2,0
2026-09-13T13:10:03.039Z,human,L8,standard,SHATTER,3,2.97,114.98,271.25,427.74,40,40,3,0,3,511,0,6.2,0
2026-09-13T13:10:07.159Z,human,L8,standard,SHATTER,6,4.36,108.38,199.68,277.07,15.11,40,6,4,6,1011,0,6.2,0
2026-09-13T13:10:12.841Z,human,L8,standard,SHATTER,4,2.9,90.39,280.6,419.58,32.96,40,4,0,4,1371,0,6.2,0
2026-09-13T13:10:17.171Z,human,L8,standard,SHATTER,4,3.05,150.05,217.42,298.52,14.95,40,4,1,4,430,0,6.2,0
2026-09-13T13:10:21.596Z,human,L9,standard,SHATTER,5,3.4,121.11,302.54,453.49,17.72,40,5,1,5,1383,0,6.2,0
2026-09-13T13:10:26.558Z,human,L9,standard,SHATTER,5,3.74,129.44,271.15,434.51,19.54,40,3,1,5,968,0,6.2,0
2026-09-13T13:10:31.621Z,human,L9,standard,SHATTER,5,3.7,82.8,186.35,307.67,21.96,40,5,0,5,1159,0,6.2,0
2026-09-13T13:10:36.688Z,human,L9,standard,SHATTER,4,4.48,100.34,212.32,308.34,22.67,40,3,0,4,542,0,6.2,0
2026-09-13T13:10:42.370Z,human,L9,standard,SHATTER,5,4.07,117.03,252.01,342.57,28.25,40,3,3,5,1266,0,6.2,0
2026-09-13T13:10:49.820Z,human,L1,heavy,SHATTER,4,3.07,131.11,270.1,371.19,15.17,40,4,0,4,140,0,6.2,0
2026-09-13T13:10:54.663Z,human,L1,heavy,SHATTER,4,3.51,112.32,194.15,272.23,30.35,40,2,1,4,125,0,6.1,0
2026-09-13T13:10:59.449Z,human,L1,heavy,SHATTER,3,2.6,121.26,205.96,331.4,40,40,3,0,3,61,0,6.2,0
2026-09-13T13:11:02.966Z,human,L1,heavy,SHATTER,4,3.2,142.62,194.44,363.66,33.53,40,4,1,4,133,0,6.2,0
2026-09-13T13:11:07.190Z,human,L1,heavy,SHATTER,5,4.2,127.25,190.87,257.39,24.28,40,3,4,5,120,0,6.1,0
2026-09-13T13:11:12.310Z,human,L1,heavy,SHATTER,5,4.1,111.69,208.79,328.84,22.05,31.89,4,1,5,206,1,6.2,0
2026-09-13T13:11:17.427Z,human,L1,heavy,SHATTER,4,2.5,121.36,179.8,233.75,26.03,40,4,1,4,95,0,6.2,0
2026-09-13T13:11:21.133Z,human,L2,heavy,SHATTER,3,2.23,111.49,222.3,342.03,40,40,3,1,3,123,0,6.2,0
2026-09-13T13:11:24.518Z,human,L2,heavy,SHATTER,3,2.45,124.78,224.02,310.81,40,40,3,1,3,379,0,6.2,0
2026-09-13T13:11:33.347Z,human,L2,heavy,SHATTER,4,4.24,91.79,196.77,315.14,30.94,40,2,1,4,249,0,6.2,0
2026-09-13T13:11:40.537Z,human,L2,heavy,SHATTER,3,1.97,125.52,239.24,325.59,40,40,3,0,3,45,0,6.2,0
2026-09-13T13:11:43.969Z,human,L2,heavy,SHATTER,3,2.05,133.93,213.1,255.23,40,40,3,0,3,104,0,6.2,0
2026-09-13T13:11:47.549Z,human,L2,heavy,SHATTER,4,2.4,140,216.49,323.34,21.27,40,4,1,4,90,0,6.2,0
2026-09-13T13:11:53.179Z,human,L2,heavy,SHATTER,4,2.47,131.43,233.89,355.09,40,40,4,1,4,112,0,6.1,0
2026-09-13T13:11:56.645Z,human,L3,heavy,SHATTER,3,2.05,98.05,240.29,318.28,40,40,3,1,3,124,0,6.2,0
2026-09-13T13:11:59.815Z,human,L3,heavy,SHATTER,3,2.13,37.22,235.51,287.56,40,40,3,1,3,126,0,6.2,0
2026-09-13T13:12:03.077Z,human,L3,heavy,SHATTER,3,1.94,99.83,204.54,235.96,40,40,3,0,3,251,0,6.2,0
2026-09-13T13:12:06.408Z,human,L3,heavy,SHATTER,4,3.29,118.87,202.52,339.03,19.33,40,3,1,4,169,0,6.2,0
2026-09-13T13:12:16.128Z,human,L3,heavy,SHATTER,3,2.05,102.36,262.96,409.12,40,40,3,1,3,94,0,6.1,0
2026-09-13T13:12:19.051Z,human,L3,heavy,SHATTER,3,2.3,133.97,269.4,384.22,40,40,3,2,3,280,0,6.1,0
2026-09-13T13:12:22.292Z,human,L4,heavy,SHATTER,4,4.93,149.06,286.19,536.15,17.42,40,4,3,4,1147,0,6.2,0
2026-09-13T13:12:28.477Z,human,L4,heavy,SHATTER,4,3.4,121.88,199.66,258,37.95,40,4,0,4,638,0,6.2,0
2026-09-13T13:12:33.089Z,human,L4,heavy,SHATTER,4,5.59,94.4,188.51,345.72,40,40,2,0,4,2184,0,6.1,0
2026-09-13T13:12:40.007Z,human,L5,heavy,SHATTER,3,2.9,130.36,217.04,324.36,40,40,2,0,3,565,0,6.2,0
2026-09-13T13:12:43.842Z,human,L5,heavy,SHATTER,3,3.04,136.29,175.62,272.82,40,40,3,1,3,517,0,6.1,0
2026-09-13T13:12:48.630Z,human,L5,heavy,SHATTER,4,3.31,108.88,179.5,229.89,37.64,39.14,3,2,4,1301,0,6.1,0
2026-09-13T13:12:53.426Z,human,L5,heavy,SHATTER,3,2.23,94.23,177.16,207.18,38.27,40,3,1,3,371,0,6.2,0
2026-09-13T13:12:57.077Z,human,L5,heavy,SHATTER,3,2.2,113.13,201.97,263.1,40,40,3,0,3,248,0,6.2,0
2026-09-13T13:13:00.797Z,human,L6,heavy,SHATTER,3,2.4,97.31,253.81,328.3,40,40,3,1,3,325,0,6.2,0
2026-09-13T13:13:04.898Z,human,L6,heavy,SHATTER,5,5.19,125.62,242.27,381.75,16.67,40,3,4,5,1965,0,6.2,0
2026-09-13T13:13:11.705Z,human,L6,heavy,SHATTER,4,4.27,136.79,221.51,296.84,40,40,3,2,4,839,0,6.2,0
2026-09-13T13:13:17.010Z,human,L6,heavy,SHATTER,3,4.67,161.64,388.67,605.8,40,40,2,0,3,2095,0,6.1,0
2026-09-13T13:13:23.308Z,human,L6,heavy,SHATTER,3,4.49,157.3,396,615.64,40,40,2,0,3,2280,0,6.2,0
2026-09-13T13:13:29.132Z,human,L6,heavy,SHATTER,3,3.26,142.41,401.33,557.73,40,40,3,1,3,662,0,6.2,0
2026-09-13T13:13:33.544Z,human,L7,heavy,SHATTER,7,5.47,84.65,217.49,294.31,9.2,40,7,2,7,1778,0,6.2,0
2026-09-13T13:13:40.443Z,human,L7,heavy,SHATTER,3,2.07,126.22,343.63,437.27,40,40,3,2,3,313,0,6.2,0
2026-09-13T13:13:43.669Z,human,L7,heavy,SHATTER,3,2.34,117.68,316.43,472.15,40,40,3,0,3,422,0,6.2,0
2026-09-13T13:13:46.986Z,human,L7,heavy,SHATTER,3,2.43,123.16,326.27,531.72,40,40,3,0,3,508,0,6.2,0
2026-09-13T13:13:50.552Z,human,L7,heavy,SHATTER,3,3.02,161.31,295.41,357.39,40,40,3,0,3,142,0,6.2,0
2026-09-13T13:13:57.076Z,human,L7,heavy,SHATTER,4,4,171.98,289.15,369,38.96,40,3,1,4,222,0,6.1,0
2026-09-13T13:14:02.319Z,human,L7,heavy,SHATTER,3,2.11,115.93,307.45,527.84,40,40,3,1,3,63,0,6.2,0
2026-09-13T13:14:05.588Z,human,L8,heavy,SHATTER,3,1.92,84.37,325.26,504.17,40,40,3,0,3,580,0,6.1,0
2026-09-13T13:14:08.561Z,human,L8,heavy,SHATTER,4,2.62,152.18,323.71,411.11,30.24,40,4,0,4,1031,0,6.1,0
2026-09-13T13:14:12.517Z,human,L8,heavy,SHATTER,3,2.47,136.8,368.38,567.38,40,40,3,0,3,604,0,6.2,0
